"","crate_id","name.x","status","name.y","updated_at","created_at","downloads","repository","version"
"59",102283,"allegro_memfile-sys","check-failed","allegro_memfile-sys",2022-08-23 08:48:14,2018-12-17 05:44:56,1810,"https://github.com/SiegeLord/RustAllegro","0.0.44"
"60",109041,"vswhom-sys","passed","vswhom-sys",2022-02-15 18:05:07,2019-01-16 23:26:46,538227,"https://github.com/nabijaczleweli/vswhom-sys.rs","0.1.1"
"61",110351,"raylib-sys","passed","raylib-sys",2021-11-07 21:16:57,2019-01-24 03:43:30,15856,"https://github.com/deltaphc/raylib-rs","3.7.0"
"62",111268,"lmdb-rkv-sys","passed","lmdb-rkv-sys",2022-02-04 21:57:31,2019-01-29 01:06:17,426630,"https://github.com/mozilla/lmdb-rs.git","0.11.2"
"63",118162,"torch-sys","check-failed","torch-sys",2022-07-04 09:05:03,2019-03-02 16:46:29,88256,"https://github.com/LaurentMazare/tch-rs","0.8.0"
"64",118751,"kpathsea_sys","check-failed","kpathsea_sys",2021-11-29 23:02:28,2019-03-04 22:51:16,1598,"https://github.com/dginev/rust-kpathsea","0.1.2"
"65",122405,"openxr-sys","passed","openxr-sys",2022-10-08 18:24:21,2019-03-19 03:44:41,29480,"https://github.com/Ralith/openxrs","0.9.3"
"66",126961,"fermium","check-failed","fermium",2022-10-22 01:20:18,2019-04-10 09:27:32,47288,"https://github.com/Lokathor/fermium","22401.0.0"
"67",127436,"geos-sys","passed","geos-sys",2022-03-23 14:31:18,2019-04-12 10:01:13,30022,"https://github.com/georust/geos","2.0.4"
"68",132820,"boolector-sys","passed","boolector-sys",2021-11-25 11:26:15,2019-05-08 14:34:24,7891,"https://github.com/fatemender/boolector-sys","0.7.1"
"69",134765,"ostree-sys","check-failed","ostree-sys",2022-10-28 07:36:51,2019-05-16 20:10:09,31455,"https://github.com/ostreedev/ostree-rs","0.11.0"
"70",139842,"env-libvpx-sys","check-failed","env-libvpx-sys",2022-07-14 06:21:19,2019-06-08 17:06:56,28247,"https://github.com/astraw/env-libvpx-sys","5.1.2"
"71",145269,"ncursesw","check-failed","ncursesw",2022-02-21 20:15:37,2019-07-01 21:48:52,4221,"https://github.com/narfit66/ncursesw-rs","0.6.4"
"72",156048,"libzetta","check-failed","libzetta",2022-04-17 21:50:10,2019-08-12 05:44:05,2068,"https://github.com/Inner-Heaven/libzetta-rs","0.3.1"
"73",156145,"physx-sys","passed","physx-sys",2022-10-20 11:59:37,2019-08-12 14:46:34,14092,"https://github.com/EmbarkStudios/physx-rs","0.8.0"
"74",158031,"clipper-sys","passed","clipper-sys",2022-03-16 11:01:49,2019-08-19 09:36:33,29164,"https://github.com/lelongg/clipper-sys","0.7.2"
"75",170558,"milter-sys","check-failed","milter-sys",2021-12-02 07:21:32,2019-10-07 11:55:14,3815,"https://gitlab.com/glts/milter-sys","0.2.3"
"76",177010,"libcec-sys","passed","libcec-sys",2022-08-07 05:44:47,2019-10-30 19:33:11,4378,"https://github.com/ssalonen/libcec-sys","4.0.0"
"77",177380,"rpmalloc-sys","passed","rpmalloc-sys",2022-04-15 12:58:52,2019-11-01 14:52:13,177181,"https://github.com/EmbarkStudios/rpmalloc-rs","0.2.3+b097fd0"
"78",196371,"oboe-sys","check-failed","oboe-sys",2022-01-11 14:55:41,2020-01-07 22:06:54,377143,"https://github.com/katyo/oboe-rs","0.4.5"
"79",198422,"minidl","passed","minidl",2022-02-07 23:44:32,2020-01-14 21:12:24,17330,"https://github.com/MaulingMonkey/minidl","0.1.4"
"80",198541,"libnotcurses-sys","check-failed","libnotcurses-sys",2022-09-25 09:52:53,2020-01-15 06:47:09,15842,"https://github.com/dankamongmen/libnotcurses-sys","3.7.0"
"81",206791,"jl-sys","check-failed","jl-sys",2022-08-21 13:42:56,2020-02-09 19:30:31,4082,"https://github.com/Taaitaaiger/jlrs","0.18.0"
"82",211783,"rquickjs-sys","passed","rquickjs-sys",2022-08-20 16:00:23,2020-02-23 15:36:05,9985,"https://github.com/DelSkayn/rquickjs.git","0.1.7"
"83",214088,"libwebp-sys2","passed","libwebp-sys2",2022-05-21 12:09:05,2020-03-01 04:08:33,61713,"https://github.com/qnighy/libwebp-sys2-rs","0.1.4"
"84",225979,"sasl2-sys","passed","sasl2-sys",2022-05-26 23:47:10,2020-04-03 17:14:45,643248,"https://github.com/MaterializeInc/rust-sasl","0.1.20+2.1.28"
"85",232265,"windows-dll","check-failed","windows-dll",2022-06-23 18:42:01,2020-04-20 16:47:21,171915,"https://github.com/thisKai/rust-windows-dll","0.4.1"
"86",233601,"gsasl-sys","check-failed","gsasl-sys",2021-12-03 17:34:36,2020-04-24 08:57:07,8734,"https://github.com/dequbed/rsasl/tree/1.X.X/gsasl-sys","0.2.4"
"87",235951,"leap-sys","passed","leap-sys",2022-07-13 21:28:49,2020-04-30 21:31:04,604,"https://github.com/urholaukkarinen/leap-sys","0.2.0"
"88",241146,"coin_cbc_sys","passed","coin_cbc_sys",2022-10-07 08:18:45,2020-05-13 15:35:59,77514,"https://github.com/KardinalAI/coin_cbc","0.1.2"
"89",244308,"fastly-sys","passed","fastly-sys",2022-10-20 18:04:38,2020-05-21 21:00:06,124335,NA,"0.8.9"
"90",252659,"rusty_ffmpeg","check-failed","rusty_ffmpeg",2022-09-12 11:53:29,2020-06-11 07:48:07,24906,"https://github.com/CCExtractor/rusty_ffmpeg/","0.10.0+ffmpeg.5.1"
"91",255595,"fuser","check-failed","fuser",2022-08-25 02:37:20,2020-06-19 06:08:48,52620,"https://github.com/cberner/fuser","0.11.1"
"92",259247,"libftd2xx-ffi","passed","libftd2xx-ffi",2022-09-17 18:22:19,2020-06-28 23:35:04,25333,"https://github.com/ftdi-rs/libftd2xx-ffi","0.8.5"
"93",276885,"jpegxl-sys","check-failed","jpegxl-sys",2022-09-24 13:59:08,2020-08-15 02:09:48,4233,"https://github.com/inflation/jpegxl-rs","0.7.0+libjxl-0.7.0"
"94",279979,"gtk-layer-shell-sys","check-failed","gtk-layer-shell-sys",2022-10-23 21:18:35,2020-08-24 02:42:11,31337,"https://github.com/pentamassiv/gtk-layer-shell-gir/tree/main/gtk-layer-shell-sys","0.5.0"
"95",282873,"web-extensions-sys","passed","web-extensions-sys",2022-10-26 15:36:19,2020-08-31 00:03:07,960,"https://github.com/web-extensions-rs/web-extensions-sys","0.3.3"
"96",287516,"flint-sys","passed","flint-sys",2022-09-03 00:18:48,2020-09-11 21:13:30,2612,"https://github.com/alex-ozdemir/flint-rs","0.7.1"
"97",314493,"polkit-sys","check-failed","polkit-sys",2022-10-01 23:19:10,2020-11-20 21:16:46,791,"https://codeberg.org/valpackett/polkit-rs","0.15.1"
"98",314498,"polkit-agent-sys","check-failed","polkit-agent-sys",2022-10-01 23:18:56,2020-11-20 21:19:54,495,"https://codeberg.org/valpackett/polkit-rs","0.15.1"
